iter	Passed	Remaining
0	7	2270
1	15	2268
2	21	2141
3	28	2093
4	35	2084
5	41	2054
6	48	2030
7	54	1987
8	60	1965
9	67	1970
10	75	1977
11	81	1952
12	87	1922
13	93	1909
14	99	1892
15	106	1882
16	111	1863
17	117	1844
18	123	1828
19	129	1809
20	136	1808
21	141	1788
22	147	1778
23	179	2062
24	184	2033
25	190	2005
26	198	2010
27	205	1994
28	212	1987
29	218	1964
30	224	1949
31	232	1943
32	237	1925
33	245	1918
34	251	1905
35	256	1883
36	263	1869
37	268	1853
38	274	1834
39	280	1825
40	287	1816
41	294	1807
42	301	1802
43	307	1790
44	315	1787
45	321	1774
46	328	1768
47	333	1752
48	338	1736
49	345	1725
50	350	1711
51	356	1700
52	362	1690
53	369	1682
54	375	1672
55	380	1656
56	385	1642
57	391	1635
58	396	1618
59	400	1601
60	407	1596
61	413	1586
62	418	1575
63	423	1562
64	428	1548
65	433	1536
66	438	1524
67	442	1509
68	447	1499
69	452	1486
70	457	1474
71	461	1462
72	466	1451
73	470	1438
74	475	1426
75	480	1416
76	486	1409
77	491	1400
78	497	1391
79	502	1381
80	507	1371
81	512	1362
82	518	1355
83	524	1349
84	530	1341
85	535	1333
86	541	1325
87	546	1316
88	552	1308
89	557	1300
90	562	1291
91	567	1283
92	572	1274
93	577	1265
94	582	1256
95	587	1248
96	592	1240
97	598	1232
98	603	1225
99	608	1217
100	613	1209
101	619	1202
102	624	1194
103	629	1186
104	635	1180
105	641	1173
106	647	1167
107	652	1160
108	658	1153
109	663	1146
110	669	1139
111	674	1131
112	679	1123
113	683	1115
114	688	1107
115	693	1100
116	698	1092
117	703	1084
118	707	1076
119	712	1069
120	717	1061
121	722	1053
122	727	1046
123	733	1041
124	738	1034
125	743	1027
126	748	1019
127	752	1011
128	757	1004
129	762	996
130	767	989
131	772	982
132	777	975
133	781	968
134	787	962
135	792	956
136	798	950
137	804	944
138	809	938
139	815	931
140	820	925
141	825	919
142	830	912
143	835	905
144	840	897
145	844	890
146	849	883
147	853	876
148	857	869
149	862	862
150	867	855
151	871	848
152	876	842
153	880	834
154	885	827
155	890	821
156	894	814
157	899	808
158	904	801
159	909	795
160	913	788
161	918	782
162	923	775
163	928	770
164	932	763
165	937	757
166	941	750
167	946	743
168	951	737
169	956	731
170	960	724
171	965	718
172	969	711
173	973	705
174	978	699
175	984	693
176	989	687
177	994	681
178	999	675
179	1004	669
180	1008	663
181	1012	656
182	1017	650
183	1022	644
184	1027	638
185	1032	632
186	1037	627
187	1042	621
188	1048	615
189	1052	609
190	1057	603
191	1063	597
192	1067	591
193	1072	586
194	1077	580
195	1082	574
196	1087	568
197	1092	562
198	1097	557
199	1102	551
200	1107	545
201	1112	539
202	1117	533
203	1121	527
204	1127	522
205	1133	517
206	1138	511
207	1143	505
208	1149	500
209	1154	494
210	1158	488
211	1164	483
212	1168	477
213	1173	471
214	1179	466
215	1184	460
216	1189	455
217	1195	449
218	1200	443
219	1205	438
220	1211	432
221	1216	427
222	1221	421
223	1225	415
224	1230	410
225	1234	404
226	1239	398
227	1244	392
228	1249	387
229	1253	381
230	1258	376
231	1264	370
232	1269	365
233	1275	359
234	1281	354
235	1286	348
236	1291	343
237	1297	337
238	1302	332
239	1307	326
240	1312	321
241	1316	315
242	1321	309
243	1325	304
244	1330	298
245	1335	293
246	1339	287
247	1344	281
248	1349	276
249	1354	270
250	1358	265
251	1363	259
252	1367	254
253	1372	248
254	1377	243
255	1384	237
256	1388	232
257	1393	226
258	1397	221
259	1402	215
260	1407	210
261	1411	204
262	1417	199
263	1422	193
264	1427	188
265	1432	183
266	1437	177
267	1442	172
268	1446	166
269	1452	161
270	1458	156
271	1464	150
272	1469	145
273	1475	140
274	1482	134
275	1487	129
276	1493	123
277	1498	118
278	1504	113
279	1509	107
280	1515	102
281	1520	97
282	1525	91
283	1530	86
284	1535	80
285	1540	75
286	1546	70
287	1551	64
288	1557	59
289	1562	53
290	1568	48
291	1573	43
292	1578	37
293	1583	32
294	1589	26
295	1593	21
296	1598	16
297	1604	10
298	1609	5
299	1614	0
